id_pedido,data,produto,categoria,preco,quantidade,regiao,metodo_pagamento,avaliacao_cliente
1,2025-01-02,Mouse Gamer,Eletronicos,120.50,2,Sul,Cartao,4
2,2025-01-03,Teclado Mecanico,Eletronicos,350.00,1,Sudeste,Pix,5
3,2025-01-03,Camiseta Esportiva,Roupas,79.90,3,Sul,Boleto,4
4,2025-01-04,Fone Bluetooth,Eletronicos,199.90,1,Nordeste,Cartao,5
5,2025-01-04,Garrafa Termica,Casa,89.00,2,Sudeste,Pix,4
6,2025-01-05,Notebook 14,Eletronicos,3500.00,1,Sul,Cartao,5
7,2025-01-05,Cadeira Escritorio,Móveis,899.00,1,Centro-Oeste,Pix,4
8,2025-01-06,Luminaria LED,Casa,45.90,4,Sudeste,Boleto,4
9,2025-01-06,Monitor 24,Eletronicos,899.90,1,Sul,Cartao,5
10,2025-01-07,Mochila Notebook,Acessorios,159.90,2,Norte,Pix,4
11,2025-01-07,Tenis Corrida,Roupas,299.90,1,Sudeste,Cartao,5
12,2025-01-08,Smartphone X,Eletronicos,2200.00,1,Sul,Pix,5
13,2025-01-08,Relogio Digital,Acessorios,199.00,2,Nordeste,Boleto,4
14,2025-01-09,Copo Termico,Casa,49.90,3,Sudeste,Cartao,4
15,2025-01-09,Tablet 10,Eletronicos,1500.00,1,Sul,Cartao,5
16,2025-01-10,Jaqueta Esportiva,Roupas,249.90,1,Sudeste,Pix,4
17,2025-01-10,Caixa de Som,Eletronicos,320.00,2,Norte,Cartao,5
18,2025-01-11,Mousepad XXL,Acessorios,89.90,2,Sul,Boleto,4
19,2025-01-11,Panela Eletrica,Casa,199.00,1,Nordeste,Pix,4
20,2025-01-12,Smartwatch,Acessorios,899.00,1,Sudeste,Cartao,5
21,2025-01-12,Camiseta Casual,Roupas,59.90,4,Sul,Pix,4
22,2025-01-13,Fone Headset,Eletronicos,249.90,1,Sudeste,Cartao,5
23,2025-01-13,Aspirador Portatil,Casa,299.00,1,Centro-Oeste,Boleto,4
24,2025-01-14,Teclado Sem Fio,Eletronicos,199.90,2,Sul,Pix,4
25,2025-01-14,Calca Jeans,Roupas,149.90,2,Sudeste,Cartao,4
26,2025-01-15,Webcam HD,Eletronicos,180.00,1,Nordeste,Cartao,5
27,2025-01-15,Carregador Portatil,Acessorios,120.00,3,Sul,Pix,4
28,2025-01-16,Cafeteira,Casa,350.00,1,Sudeste,Cartao,5
29,2025-01-16,SSD 1TB,Eletronicos,550.00,1,Sul,Pix,5
30,2025-01-17,Camiseta Basica,Roupas,49.90,5,Norte,Boleto,4
31,2025-01-17,Estante Livros,Móveis,420.00,1,Sudeste,Cartao,4
32,2025-01-18,Controle Game,Eletronicos,299.90,1,Sul,Pix,5
33,2025-01-18,Boné Esportivo,Roupas,69.90,2,Nordeste,Cartao,4
34,2025-01-19,Carregador USB,Acessorios,39.90,4,Sudeste,Pix,4
35,2025-01-19,Frigideira Antiaderente,Casa,120.00,1,Sul,Boleto,4
36,2025-01-20,Notebook 16,Eletronicos,4800.00,1,Sudeste,Cartao,5
37,2025-01-20,Cadeira Gamer,Móveis,1200.00,1,Sul,Pix,5
38,2025-01-21,Fone In-Ear,Eletronicos,89.90,3,Nordeste,Cartao,4
39,2025-01-21,Relogio Esportivo,Acessorios,350.00,1,Sudeste,Pix,4
40,2025-01-22,Camiseta Regata,Roupas,39.90,4,Sul,Boleto,4
41,2025-01-22,Lampada Inteligente,Casa,79.90,2,Sudeste,Cartao,5
42,2025-01-23,Monitor 27,Eletronicos,1200.00,1,Sul,Pix,5
43,2025-01-23,Mochila Viagem,Acessorios,220.00,1,Norte,Cartao,4
44,2025-01-24,Jaqueta Jeans,Roupas,199.90,1,Sudeste,Pix,4
45,2025-01-24,Air Fryer,Casa,499.90,1,Sul,Cartao,5
46,2025-01-25,Teclado Gamer RGB,Eletronicos,420.00,1,Sudeste,Pix,5
47,2025-01-25,Chinelo Casual,Roupas,29.90,3,Nordeste,Boleto,4
48,2025-01-26,Hub USB,Acessorios,79.90,2,Sul,Cartao,4
49,2025-01-26,Panela Pressao,Casa,180.00,1,Sudeste,Pix,4
50,2025-01-27,Smartphone Y,Eletronicos,1800.00,1,Sul,Cartao,5
51,2025-01-27,Camiseta Polo,Roupas,89.90,2,Sudeste,Pix,4
52,2025-01-28,Suporte Notebook,Acessorios,99.90,2,Norte,Cartao,4
53,2025-01-28,Liquidificador,Casa,210.00,1,Sul,Pix,5
54,2025-01-29,HD Externo 2TB,Eletronicos,480.00,1,Sudeste,Cartao,5
55,2025-01-29,Shorts Esportivo,Roupas,59.90,3,Nordeste,Pix,4
56,2025-01-30,Carregador Wireless,Acessorios,150.00,1,Sul,Cartao,4
57,2025-01-30,Forno Eletrico,Casa,620.00,1,Sudeste,Boleto,5
58,2025-01-31,Mouse Office,Eletronicos,49.90,4,Sul,Pix,4
59,2025-01-31,Meias Esportivas,Roupas,19.90,6,Norte,Cartao,4
60,2025-02-01,Organizador Mesa,Casa,35.00,3,Sudeste,Pix,4
